gid,pid,detail,no_play,off,def,type,psr,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,back,hash,mot,box,pap,trick,qbp,qbhi,qbhu,qbru,sneak,scrm,htm,pru,blz,oop,oopd,cov_type,cnb,cball,qbta,high,crr,intw,drp,avsk,fread,scre,mbt,ttp,qbsk,ttpr,dot,yac,yaco,sep,qb_pos,inc_type,rte,read,concept,rmod,pres1_type,pres1_def,pres1_off,pres2_type,pres2_def,pres2_off,pres3_type,pres3_def,pres3_off,mt1_def,mt1_type,mt1_cause,mt2_def,mt2_type,mt2_cause,mt3_def,mt3_type,mt3_cause,pri_def,sec_def,shell,rpo,trg_sep,bb_off1,bb_def1,bb_off2,bb_def2,bb_off3,bb_def3,stunt,db_count,pru_show,blz1,blz2,blz3,blz4,pshell,bc_read
7034,1155995,(11:18) 9-K.Walker left tackle to KC 28 for 8 yards (9-T.Hufanga; 49-A.Singleton).,FALSE,KC,DEN,RUSH,,,00-0038134,4,KC 20,2,10,20,2,8,1,0,0,0,0,0,1,L,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,8,,U,,,,Outside Zone,,,,,,,,,,,00-0033297,LOS,PW,00-0036428,2ND,DC,,,,,,,0,,,,,,,,0,5,0,,,,,,Tar Ang/Gap
7034,1155996,(10:33) (Shotgun) 15-P.Mahomes pass short middle to 87-T.Kelce to KC 34 for 6 yards (49-A.Singleton).,FALSE,KC,DEN,PASS,00-0033873,00-0030506,,4,KC 28,3,2,28,2,6,1,1,1,0,1,0,1,L,0,6,0,0,1,0,1,0,0,0,0,5,1,0,,,0,1,0,0,0,0,0,0,1,0,0,2.8,0,2.3,3,3,0,STP,S,,1 - Slant,1,,,P,00-0040168,00-0036557,,,,,,,,,,,,,,,,00-0031898,,1,0,1,,,,,,,0,4,5,,,,,Closed,
7034,1155997,"(9:50) 10-E.Johnson left end to KC 34 for no gain (49-A.Singleton). PENALTY on KC-65-T.Smith, Chop Block, 15 yards, enforced at KC 34 - No Play.",TRUE,KC,DEN,NOPL,,,00-0041013,4,KC 34,1,10,34,2,0,0,0,0,0,0,0,2,L,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Outside Zone,Lead,,,,,,,,,,00-0036564,BCK,SA,,,,,,,,,,0,,,,,,,,0,4,0,,,,,,Bounce Out
7034,1155998,(9:24) (Shotgun) 15-P.Mahomes pass short middle to 10-E.Johnson to KC 38 for 19 yards (96-E.Uwazurike).,FALSE,KC,DEN,PASS,00-0033873,00-0041013,,4,KC 19,1,25,19,1,19,1,0,1,0,1,0,1,L,0,6,0,0,1,0,1,0,0,0,0,5,1,0,,,0,1,0,0,0,0,0,0,0,1,0,2.5,0,2.2,-5,24,22,OPN,S,,0 - Screen,DES,,,P,00-0038106,00-0036660,P,00-0039809,00-0036557,P,00-0035248,00-0041019,00-0035763,2ND,PW,00-0031898,2ND,SP,,,,00-0035763,,1,0,1,,,,,,,0,5,5,,,,,Closed,
7034,1155999,(8:35) 10-E.Johnson up the middle to KC 40 for 2 yards (52-J.Elliss; 22-B.Jones).,FALSE,KC,DEN,RUSH,,,00-0041013,4,KC 38,2,6,38,2,2,0,0,0,0,0,0,1,R,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,3,,U,,,,Inside Zone,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5,0,,,,,,Tar Ang/Gap
7034,1156000,(7:52) (Shotgun) 15-P.Mahomes sacked at KC 32 for -8 yards (99-Z.Allen).,FALSE,KC,DEN,PASS,00-0033873,,,4,KC 40,3,4,40,3,-8,0,0,1,0,0,0,1,R,1,5,0,0,1,1,0,0,0,0,0,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,,S,,,,,,P,00-0035248,00-0036557,,,,,,,,,,,,,,,,,,2,0,,,,,,,,1,5,5,,,,,Open,
7034,1156001,"(7:08) 14-M.Araiza punts 59 yards to DEN 9, Center-41-J.Winchester. 19-M.Mims ran ob at DEN 31 for 22 yards (47-B.VanSumeren). PENALTY on DEN-6-T.Anderson, Offensive Holding, 10 yards, enforced at DEN 26.",FALSE,KC,DEN,PUNT,,,,4,KC 32,4,12,32,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7034,1156002,(6:54) (Shotgun) 12-R.Harvey up the middle to DEN 21 for 5 yards (32-N.Bolton; 21-J.Hicks).,FALSE,DEN,KC,RUSH,,,00-0040730,4,DEN 16,1,10,16,1,5,1,0,1,0,0,0,1,R,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,4,,S,,,,Inside Zone,Lead,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,5,0,,,,,,Tar Ang/Gap
7034,1156003,"(6:27) (No Huddle, Shotgun) 10-B.Nix pass short left to 1-E.Engram to DEN 27 for 6 yards (38-L.Sneed).",FALSE,DEN,KC,PASS,00-0039732,00-0033881,,4,DEN 21,2,5,21,2,6,1,1,1,1,1,0,1,M,0,6,0,0,0,0,0,0,0,0,0,4,0,0,,,0,1,0,0,0,0,0,0,0,0,0,2.8,0,NA,4,2,1,OPN,S,,11 - Texas/Angle,CHK,,,,,,,,,,,,,,,,,,,,,00-0036374,,2M,0,1,,,,,,,0,5,5,,,,,Open,
7034,1156004,"(5:55) (No Huddle, Shotgun) 10-B.Nix FUMBLES (Aborted) at DEN 22, and recovers at DEN 22.",FALSE,DEN,KC,RUSH,,,00-0039732,4,DEN 27,1,10,27,2,0,0,0,1,1,0,0,1,L,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,S,,,,No Design,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5,0,,,,,,Broken Play
