gid,pid,detail,no_play,off,def,type,psr,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,back,hash,mot,box,pap,trick,qbp,qbhi,qbhu,qbru,sneak,scrm,htm,pru,blz,oop,oopd,cov_type,cnb,cball,qbta,high,crr,intw,drp,avsk,fread,scre,mbt,ttp,qbsk,ttpr,dot,yac,yaco,sep,qb_pos,inc_type,rte,read,concept,rmod,pres1_type,pres1_def,pres1_off,pres2_type,pres2_def,pres2_off,pres3_type,pres3_def,pres3_off,mt1_def,mt1_type,mt1_cause,mt2_def,mt2_type,mt2_cause,mt3_def,mt3_type,mt3_cause,pri_def,sec_def,shell,rpo,trg_sep,bb_off1,bb_def1,bb_off2,bb_def2,bb_off3,bb_def3,stunt,db_count
6756,1109913,(1:56) (Shotgun) 2-S.Rattler pass short right to 83-J.Johnson to NO 36 for 3 yards (2-D.Lenoir).,FALSE,NO,SF,PASS,00-0039376,00-0036040,,4,NO 33,1,10,33,2,3,0,0,1,0,1,0,1,R,1,6,0,0,0,0,0,0,0,0,0,4,0,0,,,0,1,0,0,0,0,0,0,1,0,0,1.5,0,NA,2,1,1,OPN,S,,3 - Hitch/Curl,1,,,,,,,,,,,,00-0036563,LOS,JK,,,,,,,00-0036563,,2,0,2,,,,,,,0,5
6756,1109914,"(1:34) (No Huddle, Shotgun) 2-S.Rattler pass short right to 41-A.Kamara to NO 42 for 6 yards (94-Y.Gross-Matos).",FALSE,NO,SF,PASS,00-0039376,00-0033906,,4,NO 36,2,7,36,2,6,1,0,1,1,1,0,1,R,0,6,0,0,1,0,1,0,0,0,0,4,0,0,,,0,1,0,0,0,0,0,0,0,0,0,1.8,0,1.8,-4,10,6,WO,S,,10 - Swing,CHK,,,P,00-0036151,00-0039339,,,,,,,00-0036563,LOS,SP,,,,,,,00-0036563,,6,0,5+,,,,,,,0,5
6756,1109915,"(1:07) (No Huddle, Shotgun) 2-S.Rattler pass incomplete short right to 83-J.Johnson (54-F.Warner).",FALSE,NO,SF,PASS,00-0039376,00-0036040,,4,NO 42,3,1,42,3,0,0,0,1,1,0,0,1,R,0,6,0,0,0,0,0,0,0,0,0,6,2,0,,,1,0,0,0,0,0,0,0,0,0,0,2,0,NA,12,NA,NA,TCV,S,FI,6 - Corner,2,,,,,,,,,,,,,,,,,,,,,00-0034815,,1,0,0,,,,,,,0,5
6756,1109916,Timeout #1 by SF at 01:03.,TRUE,NA,NA,NOPL,,,,4,NO 42,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6756,1109917,"(1:03) (Shotgun) 2-S.Rattler sacked at NO 34 for -8 yards (47-B.Huff). FUMBLES (47-B.Huff) [47-B.Huff], touched at NO 33, recovered by NO-51-C.Ruiz at NO 27.",FALSE,NO,SF,PASS,00-0039376,,,4,NO 42,4,1,42,3,-9,0,0,1,0,0,0,0,R,1,6,0,0,1,1,0,0,0,0,0,4,1,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,,S,,,,,,C,00-0036151,00-0039339,,,,,,,,,,,,,,,,,,2,0,,,,,,,,0,5
6756,1109918,(:57) 10-M.Jones kneels to NO 28 for -1 yards.,FALSE,SF,NO,RUSH,,,00-0036972,4,NO 27,1,10,73,4,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,Kneel,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6756,1109919,Timeout #3 by NO at 00:54.,TRUE,NA,NA,NOPL,,,,4,NO 28,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6756,1109920,(:54) 10-M.Jones kneels to NO 29 for -1 yards.,FALSE,SF,NO,RUSH,,,00-0036972,4,NO 28,2,11,72,4,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,Kneel,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6756,1109921,(:14) 10-M.Jones kneels to NO 30 for -1 yards.,FALSE,SF,NO,RUSH,,,00-0036972,4,NO 29,3,12,71,4,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,Kneel,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6757,1109922,15-M.Prater kicks 55 yards from BUF 35 to NYJ 10. 32-I.Davis to NYJ 36 for 26 yards (41-R.Gilliam; 44-J.Andreessen).,FALSE,NYJ,BUF,KOFF,,,,1,BUF 35,0,0,65,4,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6757,1109923,(14:55) 20-B.Hall left end pushed ob at NYJ 38 for 2 yards (58-M.Milano).,FALSE,NYJ,BUF,RUSH,,,00-0038120,1,NYJ 36,1,10,36,2,2,0,0,0,0,0,0,1,L,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,5,,U,,,,Outside Zone,,,,,,,,,,,00-0033571,BCK,SA,,,,,,,,,,0,,,,,,,,0,4
6757,1109924,"(14:24) (Shotgun) 20-B.Hall up the middle to NYJ 35 for -3 yards (58-M.Milano, 39-C.Lewis).",FALSE,NYJ,BUF,RUSH,,,00-0038120,1,NYJ 38,2,8,38,2,-3,0,0,1,0,0,0,1,L,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,P,,,,Man/Duo,Read Option,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5
6757,1109925,(13:42) (Shotgun) 7-J.Fields pass incomplete deep left to 5-G.Wilson.,FALSE,NYJ,BUF,PASS,00-0036945,00-0037740,,1,NYJ 35,3,11,35,2,0,0,0,1,0,0,0,1,R,0,6,0,0,0,0,0,0,0,0,0,5,1,0,,,0,0,0,0,0,0,0,0,1,0,0,3.1,0,NA,22,NA,NA,OPN,S,,5 - In/Dig,1,,,,,,,,,,,,,,,,,,,,,00-0037288,,3,0,3,,,,,,,1,5
6757,1109926,"(13:37) 14-A.McNamara punts 55 yards to BUF 10, Center-42-T.Hennessy. 29-B.Codrington pushed ob at BUF 19 for 9 yards (41-M.McCrary-Ball; 51-F.Mauigoa).",FALSE,NYJ,BUF,PUNT,,,,1,NYJ 35,4,11,35,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6757,1109927,(13:27) 18-E.Moore right end to BUF 21 for 2 yards (30-M.Carter).,FALSE,BUF,NYJ,RUSH,,,00-0036980,1,BUF 19,1,10,19,1,2,0,0,0,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,U,,,,Trick/WR Run,Misdirection,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5
6757,1109928,(12:50) (Shotgun) 17-J.Allen pass incomplete deep right to 14-T.Shavers.,FALSE,BUF,NYJ,PASS,00-0034857,00-0038679,,1,BUF 21,2,8,21,2,0,0,0,1,0,0,0,2,R,1,7,1,0,0,0,0,0,0,0,0,4,0,1,BL,,0,0,0,0,0,0,0,0,0,0,0,4.6,0,NA,16,NA,NA,CLS,P,IAT,3 - Hitch/Curl,SD,,,,,,,,,,,,,,,,,,,,,00-0037155,,2,0,4,,,,,,,1,4
6757,1109929,"(12:44) (Shotgun) 17-J.Allen scrambles up the middle pushed ob at NYJ 39 for 40 yards (22-T.Adams). PENALTY on NYJ-30-M.Carter, Defensive Holding, 5 yards, enforced at NYJ 39.",FALSE,BUF,NYJ,RUSH,,,00-0034857,1,BUF 21,3,8,21,2,40,1,1,1,0,0,0,1,R,1,6,0,0,0,0,0,0,0,1,0,5,1,1,BL,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,S,,,SD,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,1,5
