"","season","posteam","week","penalty_type","plays"
"118",2024,"BAL",6,"Defensive Pass Interference",2
"119",2024,"BAL",6,"False Start",2
"120",2024,"BAL",6,NA,79
"121",2024,"BAL",7,"Defensive Holding",1
"122",2024,"BAL",7,"Ineligible Downfield Pass",1
"123",2024,"BAL",7,"Low Block",1
"124",2024,"BAL",7,"Offensive Holding",5
"125",2024,"BAL",7,"Offensive Pass Interference",1
"126",2024,"BAL",7,"Roughing the Passer",1
"127",2024,"BAL",7,NA,66
"128",2024,"BAL",8,"Defensive Pass Interference",1
"129",2024,"BAL",8,"Defensive Too Many Men on Field",1
"130",2024,"BAL",8,"Face Mask",1
"131",2024,"BAL",8,"False Start",2
"132",2024,"BAL",8,"Illegal Block Above the Waist",1
"133",2024,"BAL",8,"Offensive Holding",3
"134",2024,"BAL",8,NA,79
"135",2024,"BUF",1,"Defensive Holding",1
"136",2024,"BUF",1,"Defensive Pass Interference",1
"137",2024,"BUF",1,"Defensive Too Many Men on Field",1
"138",2024,"BUF",1,"Face Mask",1
"139",2024,"BUF",1,"False Start",4
"140",2024,"BUF",1,"Kickoff Short of Landing Zone",1
"141",2024,"BUF",1,"Offensive Holding",2
"142",2024,"BUF",1,"Roughing the Passer",1
"143",2024,"BUF",1,NA,69
"144",2024,"BUF",2,"False Start",1
"145",2024,"BUF",2,"Illegal Formation",1
"146",2024,"BUF",2,"Unnecessary Roughness",1
"147",2024,"BUF",2,NA,58
"148",2024,"BUF",3,"Defensive Offside",2
"149",2024,"BUF",3,"False Start",1
"150",2024,"BUF",3,"Ineligible Downfield Pass",1
"151",2024,"BUF",3,"Unnecessary Roughness",2
"152",2024,"BUF",3,NA,72
"153",2024,"BUF",4,"Defensive Delay of Game",1
"154",2024,"BUF",4,"Offensive Holding",2
"155",2024,"BUF",4,"Unnecessary Roughness",1
"156",2024,"BUF",4,NA,73
"157",2024,"BUF",5,"Defensive Holding",1
"158",2024,"BUF",5,"False Start",3
"159",2024,"BUF",5,"Offensive Holding",1
"160",2024,"BUF",5,"Unnecessary Roughness",1
"161",2024,"BUF",5,NA,76
"162",2024,"BUF",6,"Defensive Pass Interference",3
"163",2024,"BUF",6,"False Start",3
"164",2024,"BUF",6,"Illegal Formation",2
"165",2024,"BUF",6,"Neutral Zone Infraction",1
"166",2024,"BUF",6,"Offensive Pass Interference",1
"167",2024,"BUF",6,"Roughing the Passer",1
"168",2024,"BUF",6,"Unsportsmanlike Conduct",2
"169",2024,"BUF",6,NA,74
"170",2024,"BUF",7,"Defensive Offside",1
"171",2024,"BUF",7,"False Start",1
"172",2024,"BUF",7,"Offensive Holding",2
"173",2024,"BUF",7,NA,67
"174",2024,"BUF",8,"Defensive Pass Interference",1
"175",2024,"BUF",8,"Delay of Game",1
"176",2024,"BUF",8,"Encroachment",1
"177",2024,"BUF",8,"False Start",3
"178",2024,"BUF",8,"Illegal Contact",1
"179",2024,"BUF",8,"Offensive Holding",4
"180",2024,"BUF",8,"Offensive Pass Interference",1
"181",2024,"BUF",8,"Roughing the Passer",1
"182",2024,"BUF",8,"Tripping",1
"183",2024,"BUF",8,NA,80
"184",2024,"CAR",1,"Defensive Offside",1
"185",2024,"CAR",1,"Defensive Pass Interference",1
"186",2024,"CAR",1,"Delay of Game",1
"187",2024,"CAR",1,"Offensive Holding",3
"188",2024,"CAR",1,"Unnecessary Roughness",1
"189",2024,"CAR",1,NA,72
"190",2024,"CAR",2,"Face Mask",1
"191",2024,"CAR",2,"Fair Catch Interference",1
"192",2024,"CAR",2,"False Start",1
"193",2024,"CAR",2,"Kickoff Short of Landing Zone",1
"194",2024,"CAR",2,"Offensive Holding",1
"195",2024,"CAR",2,NA,60
"196",2024,"CAR",3,"Defensive Pass Interference",1
"197",2024,"CAR",3,"False Start",1
"198",2024,"CAR",3,"Illegal Use of Hands",1
"199",2024,"CAR",3,"Neutral Zone Infraction",1
"200",2024,"CAR",3,"Offensive Holding",2
"201",2024,"CAR",3,NA,87
"202",2024,"CAR",4,"Defensive Holding",1
"203",2024,"CAR",4,"False Start",2
"204",2024,"CAR",4,"Illegal Use of Hands",1
"205",2024,"CAR",4,NA,84
"206",2024,"CAR",5,"Defensive Pass Interference",1
"207",2024,"CAR",5,"False Start",1
"208",2024,"CAR",5,"Offensive Too Many Men on Field",1
"209",2024,"CAR",5,NA,73
"210",2024,"CAR",6,"Defensive Offside",1
"211",2024,"CAR",6,"Defensive Pass Interference",1
"212",2024,"CAR",6,"False Start",3
"213",2024,"CAR",6,"Illegal Formation",1
"214",2024,"CAR",6,"Illegal Shift",1
"215",2024,"CAR",6,"Low Block",1
"216",2024,"CAR",6,"Offensive Holding",4
"217",2024,"CAR",6,NA,74
"218",2024,"CAR",7,"Delay of Game",1
"219",2024,"CAR",7,"Illegal Block Above the Waist",1
"220",2024,"CAR",7,"Neutral Zone Infraction",1
"221",2024,"CAR",7,"Offensive Holding",1
"222",2024,"CAR",7,NA,58
"223",2024,"CAR",8,"Delay of Game",2
"224",2024,"CAR",8,"False Start",1
"225",2024,"CAR",8,"Offensive Holding",4
"226",2024,"CAR",8,"Roughing the Passer",2
"227",2024,"CAR",8,NA,69
"228",2024,"CHI",1,"Defensive Too Many Men on Field",1
"229",2024,"CHI",1,"Delay of Game",1
"230",2024,"CHI",1,"False Start",1
"231",2024,"CHI",1,"Illegal Block Above the Waist",1
"232",2024,"CHI",1,"Neutral Zone Infraction",1
"233",2024,"CHI",1,"Offensive Holding",3
"234",2024,"CHI",1,NA,68
"235",2024,"CHI",2,"Defensive Holding",2
"236",2024,"CHI",2,"Defensive Pass Interference",2
"237",2024,"CHI",2,"Delay of Game",1
"238",2024,"CHI",2,"False Start",4
"239",2024,"CHI",2,"Intentional Grounding",1
"240",2024,"CHI",2,"Offensive Holding",2
"241",2024,"CHI",2,"Roughing the Passer",1
"242",2024,"CHI",2,NA,77
"243",2024,"CHI",3,"Defensive Pass Interference",2
"244",2024,"CHI",3,"Encroachment",1
"245",2024,"CHI",3,"False Start",1
"246",2024,"CHI",3,"Offensive Holding",1
"247",2024,"CHI",3,"Roughing the Kicker",1
"248",2024,"CHI",3,"Roughing the Passer",1
"249",2024,"CHI",3,NA,97
"250",2024,"CHI",4,"Defensive Holding",2
"251",2024,"CHI",4,"Defensive Pass Interference",1
"252",2024,"CHI",4,"False Start",3
"253",2024,"CHI",4,"Illegal Blindside Block",1
"254",2024,"CHI",4,"Illegal Formation",2
"255",2024,"CHI",4,"Offensive Holding",1
"256",2024,"CHI",4,NA,69
"257",2024,"CHI",5,"Clipping",1
"258",2024,"CHI",5,"Defensive Pass Interference",1
"259",2024,"CHI",5,"Defensive Too Many Men on Field",1
"260",2024,"CHI",5,"False Start",1
"261",2024,"CHI",5,"Illegal Shift",1
"262",2024,"CHI",5,"Offensive Holding",1
"263",2024,"CHI",5,NA,84
"264",2024,"CHI",6,"Defensive Holding",2
"265",2024,"CHI",6,"Defensive Pass Interference",1
"266",2024,"CHI",6,"Defensive Too Many Men on Field",1
"267",2024,"CHI",6,"Illegal Formation",1
"268",2024,"CHI",6,"Illegal Shift",1
"269",2024,"CHI",6,NA,74
"270",2024,"CHI",8,"Defensive Pass Interference",1
"271",2024,"CHI",8,"Delay of Game",1
"272",2024,"CHI",8,"False Start",3
"273",2024,"CHI",8,"Illegal Formation",1
"274",2024,"CHI",8,"Unnecessary Roughness",1
"275",2024,"CHI",8,NA,74
"276",2024,"CIN",1,"Defensive Offside",1
"277",2024,"CIN",1,"Defensive Pass Interference",1
"278",2024,"CIN",1,"Illegal Formation",1
"279",2024,"CIN",1,"Illegal Substitution",1
"280",2024,"CIN",1,NA,57
"281",2024,"CIN",2,"Defensive Pass Interference",1
"282",2024,"CIN",2,"Delay of Game",1
"283",2024,"CIN",2,"False Start",1
"284",2024,"CIN",2,"Offensive Holding",1
"285",2024,"CIN",2,"Offensive Pass Interference",1
"286",2024,"CIN",2,"Unsportsmanlike Conduct",1
"287",2024,"CIN",2,NA,75
"288",2024,"CIN",3,"Defensive Pass Interference",1
"289",2024,"CIN",3,"False Start",1
"290",2024,"CIN",3,NA,75
"291",2024,"CIN",4,"Defensive Pass Interference",2
"292",2024,"CIN",4,"Illegal Contact",1
"293",2024,"CIN",4,"Neutral Zone Infraction",1
"294",2024,"CIN",4,"Offensive Holding",2
"295",2024,"CIN",4,"Offensive Pass Interference",1
