"week","plays","epa","sr"
1,19,-0.160128157598114,0
2,23,-0.0536801066229363,0
3,27,-0.194946147051803,0
4,23,-0.318079334865932,0
5,30,-0.257189805648522,0
6,28,0.110773251609187,1
