gid,pid,detail,off,def,type,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,dot,ptck1,ptck2,sk1,sk2,ptm,pen,desc,pey,act,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,td,td_type,epa,dpbk,stunt,db_count
6733,1105974,(1:25) (Shotgun) 15-P.Mahomes pass short middle to 87-T.Kelce to PHI 24 for 13 yards (33-C.DeJean).,KC,PHI,PASS,42,3,1,25,0,34,3,2,3,7,63,4,13,1,1,1,0,0,,0,,,,00-0033873,1,0,SM,00-0030506,,7,00-0039841,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,2.266,00-0033873,0,5
6733,1105975,"(:43) 15-P.Mahomes pass deep right to 1-X.Worthy for 24 yards, TOUCHDOWN.",KC,PHI,PASS,9,3,0,43,0,34,3,2,1,10,76,4,24,1,1,0,0,6,,0,,,,00-0033873,1,0,DR,00-0039894,,24,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,1,REC,2.388,00-0033873,0,5
6733,1105976,TWO-POINT CONVERSION ATTEMPT. 15-P.Mahomes pass to 87-T.Kelce is incomplete. ATTEMPT FAILS.,KC,PHI,CONV,0,3,0,34,6,34,3,2,0,0,98,5,0,0,0,0,0,0,,0,,,,00-0033873,0,0,,00-0030506,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.947,00-0033873,0,5
6733,1105977,7-H.Butker kicks 60 yards from KC 35 to PHI 5. 28-W.Shipley pushed ob at PHI 30 for 25 yards (50-S.Bozeman; 6-B.Cook).,PHI,KC,KOFF,5,3,0,34,34,6,2,3,0,0,65,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0033303,60,35,0,00-0039746,25,0,,0.257,,0,
6733,1105978,(:29) 26-S.Barkley left end to PHI 34 for 4 yards (69-M.Pennel). ** Injury Update: KC-95-C.Jones has returned to the game.,PHI,KC,RUSH,29,3,0,29,34,6,2,3,1,10,30,2,4,0,0,0,0,0,00-0034844,0,LE,00-0030757,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.147,,0,4
6733,1105979,(15:00) (Shotgun) 1-J.Hurts pass short right to 26-S.Barkley ran ob at PHI 45 for 11 yards (27-C.Conner).,PHI,KC,PASS,39,4,15,0,34,6,2,3,2,6,34,2,11,1,1,1,0,0,,0,,,,00-0036389,1,0,SR,00-0034844,,-7,00-0038982,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,1.037,00-0036389,0,5
6733,1105980,(14:21) (Shotgun) 26-S.Barkley left tackle to PHI 48 for 3 yards (69-M.Pennel; 32-N.Bolton).,PHI,KC,RUSH,44,4,14,21,34,6,2,3,1,10,45,3,3,0,0,1,0,0,00-0034844,0,LT,00-0030757,00-0036621,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.247,,0,5
6733,1105981,(13:37) (Shotgun) 1-J.Hurts pass short left to 11-A.Brown to KC 43 for 9 yards (22-T.McDuffie).,PHI,KC,PASS,41,4,13,37,34,6,2,3,2,7,48,3,9,1,1,1,0,0,,0,,,,00-0036389,1,0,SL,00-0035676,,6,00-0037191,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.968,00-0036389,0,5
6733,1105982,(12:56) (Shotgun) 26-S.Barkley right tackle to KC 44 for -1 yards (90-C.Omenihu).,PHI,KC,RUSH,43,4,12,56,34,6,2,3,1,10,57,3,-1,0,0,1,0,0,00-0034844,0,RT,00-0035279,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.834,,0,4
6733,1105983,(12:13) (Shotgun) 1-J.Hurts scrambles right end ran ob at KC 27 for 17 yards (22-T.McDuffie).,PHI,KC,RUSH,44,4,12,13,34,6,2,3,2,11,56,3,17,1,1,1,0,0,00-0036389,0,RE,00-0037191,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,2.116,00-0036389,0,5
6733,1105984,(11:29) 26-S.Barkley up the middle to KC 25 for 2 yards (91-D.Nnadi).,PHI,KC,RUSH,44,4,11,29,34,6,2,3,1,10,73,4,2,0,0,0,0,0,00-0034844,0,RM,00-0034818,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.42,,0,4
6733,1105985,(10:45) (Shotgun) 1-J.Hurts sacked at KC 30 for -5 yards (23-D.Tranquill).,PHI,KC,PASS,45,4,10,45,34,6,2,3,2,8,75,4,-5,0,0,1,0,0,,0,,,,,0,0,,,,,,,00-0035262,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-1.382,00-0036389,0,5
6733,1105986,(10:00) (Shotgun) 26-S.Barkley left guard to KC 30 for no gain (20-J.Reid).,PHI,KC,RUSH,4,4,10,0,34,6,2,3,3,13,70,4,0,0,0,1,0,0,00-0034844,0,LG,00-0034361,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.657,,0,6
6733,1105987,Timeout #1 by KC at 09:56.,NA,NA,NOPL,0,4,9,56,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0,,0,
6733,1105988,"(9:56) 4-J.Elliott 48 yard field goal is GOOD, Center-49-R.Lovato, Holder-10-B.Mann.",PHI,KC,FGXP,5,4,9,56,34,6,2,2,4,13,70,4,0,1,0,0,0,3,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,FG,00-0033787,48,1,,,,0,,,0,,,,0,,,0,,1.306,,0,
6733,1105989,"4-J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback to the KC 30.",KC,PHI,KOFF,0,4,9,51,6,37,2,2,0,0,65,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0033787,65,65,1,,0,0,,0.215,,0,
6733,1105990,"(9:51) (Shotgun) 15-P.Mahomes sacked at KC 20 for -10 yards (93-M.Williams). FUMBLES (93-M.Williams) [98-J.Carter], touched at KC 19, RECOVERED by PHI-93-M.Williams at KC 18. PENALTY on PHI-93-M.Williams, Unsportsmanlike Conduct, 15 yards, enforced at KC 18.",KC,PHI,PASS,9,4,9,51,6,37,2,2,1,10,30,2,-11,0,0,1,0,0,,0,,,,,0,0,,,,,,,00-0036916,,PHI,00-0036916,Unsportsmanlike Conduct,15,NA,,,00-0033873,00-0036916,0,00-0036916,1,,,,,,,0,,,,0,,,0,,,,0,,,0,,-5.478,00-0033873,0,5
6733,1105991,(9:42) (Shotgun) 26-S.Barkley right tackle to KC 26 for 7 yards (56-G.Karlaftis).,PHI,KC,RUSH,44,4,9,42,37,6,2,2,1,10,67,4,7,1,0,1,0,0,00-0034844,0,RT,00-0037192,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.421,,0,4
